mary
anna
emma
elizabeth
minnie
margaret
ida
alice
bertha
sarah
annie
clara
ella
florence
cora
martha
laura
nellie
grace
carrie
maude
mabel
bessie
jennie
gertrude
julia
hattie
edith
mattie
rose
catherine
lillian
ada
lillie
helen
jessie
louise
ethel
lula
myrtle
eva
frances
lena
lucy
edna
maggie
pearl
daisy
fannie
josephine
dora
rosa
katherine
agnes
marie
nora
may
mamie
blanche
stella
ellen
nancy
effie
sallie
nettie
della
lizzie
flora
susie
maud
mae
etta
harriet
sadie
caroline
katie
lydia
elsie
kate
susan
mollie
alma
addie
georgia
eliza
lulu
nannie
lottie
amanda
belle
charlotte
rebecca
ruth
viola
olive
amelia
hannah
jane
virginia
emily
matilda
irene
kathryn
esther
willie
henrietta
ollie
amy
rachel
sara
estella
theresa
augusta
ora
pauline
josie
lola
sophia
leona
anne
mildred
ann
beulah
callie
lou
delia
eleanor
barbara
iva
louisa
maria
mayme
evelyn
estelle
nina
betty
marion
bettie
dorothy
luella
inez
lela
rosie
allie
millie
janie
cornelia
victoria
ruby
winifred
alta
celia
christine
beatrice
birdie
harriett
mable
myra
sophie
tillie
isabel
sylvia
carolyn
isabelle
leila
sally
ina
essie
bertie
nell
alberta
katharine
lora
rena
mina
rhoda
mathilda
abbie
eula
dollie
hettie
eunice
fanny
ola
lenora
adelaide
christina
lelia
nelle
sue
johanna
lilly
lucinda
minerva
lettie
roxie
cynthia
helena
hilda
hulda
bernice
genevieve
jean
cordelia
marian
francis
jeanette
adeline
gussie
leah
lois
lura
mittie
hallie
isabella
olga
phoebe
teresa
hester
lida
lina
winnie
claudia
marguerite
vera
cecelia
bess
emilie
john
rosetta
verna
myrtie
cecilia
elva
olivia
ophelia
georgie
elnora
violet
adele
lily
linnie
loretta
madge
polly
virgie
eugenia
lucile
lucille
mabelle
rosalie
kittie
meta
angie
dessie
georgiana
lila
regina
selma
wilhelmina
bridget
lilla
malinda
vina
freda
gertie
jeannette
louella
mandy
roberta
cassie
corinne
ivy
melissa
lyda
naomi
norma
bell
margie
nona
zella
dovie
elvira
erma
irma
leota
william
artie
blanch
charity
lorena
lucretia
orpha
alvina
annette
catharine
elma
geneva
janet
lee
leora
lona
miriam
zora
linda
octavia
sudie
zula
adella
alpha
frieda
george
joanna
leonora
priscilla
tennie
angeline
docia
ettie
flossie
hanna
letha
minta
retta
rosella
adah
berta
elisabeth
elise
goldie
leola
margret
adaline
floy
idella
juanita
lenna
lucie
missouri
nola
zoe
eda
isabell
james
julie
letitia
madeline
malissa
mariah
pattie
vivian
almeda
aurelia
claire
dolly
hazel
jannie
kathleen
kathrine
lavinia
marietta
melvina
ona
pinkie
samantha
susanna
chloe
donnie
elsa
gladys
matie
pearle
vesta
vinnie
antoinette
clementine
edythe
harriette
libbie
lilian
lue
lutie
magdalena
meda
rita
tena
zelma
adelia
annetta
antonia
dona
elizebeth
georgianna
gracie
iona
lessie
leta
liza
mertie
molly
neva
oma
alida
alva
cecile
cleo
donna
ellie
ernestine
evie
frankie
helene
minna
myrta
prudence
queen
rilla
savannah
tessie
tina
agatha
america
anita
arminta
dorothea
ira
luvenia
marjorie
maybelle
mellie
nan
pearlie
sidney
velma
clare
constance
dixie
ila
iola
jimmie
louvenia
lucia
ludie
luna
metta
patsy
phebe
sophronia
adda
avis
betsy
bonnie
cecil
cordie
emmaline
ethelyn
hortense
june
louie
lovie
marcella
melinda
mona
odessa
veronica
aimee
annabel
ava
bella
carolina
cathrine
christena
clyde
dena
dolores
eleanore
elmira
fay
frank
jenny
kizzie
lonnie
loula
magdalene
mettie
mintie
peggy
reba
serena
vida
zada
abigail
celestine
celina
claudie
clemmie
connie
daisie
deborah
dessa
easter
eddie
emelia
emmie
imogene
jeanne
joan
lenore
liddie
lotta
mame
nevada
rachael
sina
willa
aline
beryl
charles
daisey
dorcas
edmonia
effa
eldora
eloise
emmer
era
gena
henry
iris
izora
lennie
lissie
mallie
malvina
mathilde
mazie
queenie
robert
rosina
salome
theodora
therese
vena
wanda
wilda
altha
anastasia
besse
bird
birtie
clarissa
claude
delilah
diana
emelie
erna
fern
florida
frona
hilma
joseph
juliet
leonie
lugenia
mammie
manda
manerva
manie
nella
paulina
philomena
rae
selina
sena
theodosia
tommie
una
vernie
adela
althea
amalia
amber
angelina
annabelle
anner
arie
clarice
corda
corrie
dell
dellar
donie
doris
elda
elinor
emeline
emilia
esta
estell
etha
fred
hope
indiana
ione
jettie
johnnie
josiephine
kitty
lavina
leda
letta
mahala
marcia
margarette
maudie
maye
norah
oda
patty
paula
permelia
rosalia
roxanna
sula
vada
winnifred
adline
almira
alvena
arizona
becky
bennie
bernadette
camille
cordia
corine
dicie
dove
drusilla
elena
elenora
elmina
ethyl
evalyn
evelina
faye
huldah
idell
inga
irena
jewell
kattie
lavenia
leslie
lovina
lulie
magnolia
margeret
margery
media
millicent
nena
ocie
orilla
osie
pansy
ray
rosia
rowena
shirley
tabitha
thomas
verdie
walter
zetta
zoa
zona
albertina
albina
alyce
amie
angela
annis
carol
carra
clarence
clarinda
delphia
dillie
doshie
drucilla
etna
eugenie
eulalia
eve
felicia
florance
fronie
geraldine
gina
glenna
grayce
hedwig
jessica
jossie
katheryn
katy
lea
leanna
leitha
leone
lidie
loma
lular
magdalen
maymie
minervia
muriel
neppie
olie
onie
osa
otelia
paralee
patience
rella
rillie
rosanna
theo
tilda
tishie
tressa
viva
yetta
zena
zola
abby
aileen
alba
alda
alla
alverta
ara
ardelia
ardella
arrie
arvilla
augustine
aurora
bama
bena
byrd
calla
camilla
carey
carlotta
celestia
cherry
cinda
classie
claudine
clemie
clifford
clyda
creola
debbie
dee
dinah
doshia
ednah
edyth
eleanora
electa
eola
erie
eudora
euphemia
evalena
evaline
faith
fidelia
freddie
golda
harry
helma
hermine
hessie
ivah
janette
jennette
joella
kathryne
lacy
lanie
lauretta
leana
leatha
leo
liller
lillis
louetta
madie
mai
martina
maryann
melva
mena
mercedes
merle
mima
minda
monica
nealie
netta
nolia
nonie
odelia
ottilie
phyllis
robbie
sabina
sada
sammie
suzanne
sybilla
thea
tressie
vallie
venie
viney
wilhelmine
winona
zelda
zilpha
adelle
adina
adrienne
albertine
alys
ana
araminta
arthur
birtha
bulah
caddie
celie
charlotta
clair
concepcion
cordella
corrine
delila
delphine
dosha
edgar
elaine
elisa
ellar
elmire
elvina
ena
estie
etter
fronnie
genie
georgina
glenn
gracia
guadalupe
gwendolyn
hassie
honora
icy
isa
isadora
jesse
jewel
joe
johannah
juana
judith
judy
junie
lavonia
lella
lemma
letty
linna
littie
lollie
lorene
louis
love
lovisa
lucina
lynn
madora
mahalia
manervia
manuela
margarett
margaretta
margarita
marilla
mignon
mozella
natalie
nelia
nolie
omie
opal
ossie
ottie
ottilia
parthenia
penelope
pinkey
pollie
rennie
reta
roena
rosalee
roseanna
ruthie
sabra
sannie
selena
sibyl
tella
tempie
tennessee
teressa
texas
theda
thelma
thursa
ula
vannie
verona
vertie
wilma
mary
anna
emma
elizabeth
margaret
minnie
ida
annie
bertha
alice
clara
sarah
ella
nellie
grace
florence
martha
cora
laura
carrie
maude
bessie
mabel
gertrude
ethel
jennie
edith
hattie
mattie
julia
rose
lillian
lillie
eva
jessie
lula
myrtle
pearl
edna
catherine
ada
louise
helen
lucy
frances
dora
fannie
josephine
daisy
lena
maggie
katherine
rosa
marie
nora
effie
blanche
may
nancy
della
agnes
nettie
sallie
stella
ellen
mamie
lizzie
susie
sadie
elsie
maud
flora
caroline
etta
mae
lulu
lydia
alma
susan
lottie
addie
mollie
katie
ruth
harriet
kate
amanda
nannie
georgia
emily
eliza
viola
amelia
willie
charlotte
rebecca
belle
kathryn
jane
olive
virginia
irene
hannah
ora
esther
matilda
henrietta
theresa
ollie
pauline
estella
beulah
augusta
rachel
mildred
josie
sara
amy
louisa
luella
leona
anne
ann
barbara
lola
estelle
lela
millie
nina
iva
sophia
maria
ruby
victoria
evelyn
mayme
alta
lou
janie
betty
delia
eleanor
marion
dorothy
ina
celia
callie
bettie
allie
inez
dollie
ola
lucinda
mable
rena
beatrice
harriett
rosie
birdie
eula
rhoda
winnie
christina
isabelle
tillie
abbie
winifred
essie
lora
sally
sophie
eunice
leila
isabel
nell
lelia
myra
nelle
roxie
mathilda
bertie
katharine
lenora
lettie
christine
sue
sylvia
cornelia
linnie
alberta
hettie
adelaide
mina
helena
carolyn
adeline
genevieve
johanna
loretta
lida
fanny
hester
lilly
naomi
lois
minerva
mittie
bess
claudia
leah
lucretia
marguerite
cecelia
elva
olivia
gussie
hazel
isabella
cordelia
rosetta
wilhelmina
bernice
hilda
lucille
polly
vera
cynthia
elnora
francis
selma
lily
lura
phoebe
teresa
angie
hulda
jean
louella
myrtie
adele
jeannette
lyda
virgie
dessie
lila
violet
elma
madge
regina
roberta
catharine
eugenia
gladys
malinda
mandy
melissa
cecilia
goldie
lee
lina
marian
elvira
emilie
ivy
linda
nona
zella
hallie
irma
jeanette
leola
lucile
geneva
gertie
bridget
freda
dolly
molly
georgie
lilla
margie
nola
dovie
letha
olga
george
meta
verna
william
adah
alvina
antoinette
bell
janet
mabelle
mertie
cassie
erma
flossie
louie
alpha
blanch
ellie
johnnie
lona
lorena
miriam
ophelia
priscilla
sudie
zula
annette
john
norma
rosalie
vina
bonnie
corinne
elisabeth
elsa
frieda
juanita
melvina
tennie
bella
cecile
dona
frankie
gracie
james
kittie
leota
maudie
orpha
savannah
vinnie
vivian
anita
claire
cleo
dena
eda
leonora
leora
liza
almeda
artie
charity
elise
georgianna
harriette
isabell
jimmie
julie
kitty
margret
nan
pearlie
zoe
adelia
angeline
dorothea
ernestine
joanna
lennie
leta
lue
marietta
ona
pearle
rilla
susanna
zora
adda
clare
georgiana
helene
ila
libbie
magdalena
phebe
rita
vesta
edythe
kathrine
letitia
nella
octavia
oma
tena
tina
velma
adaline
ava
cathrine
emmie
ettie
evie
fay
iona
lavina
lessie
luna
matie
charles
clyde
elmira
floy
hanna
hilma
isa
mellie
missouri
pinkie
reba
retta
zelma
adella
alida
cecil
eugenie
india
june
katheryn
lilian
lotta
lucia
lutie
malissa
maybelle
sidney
sophronia
tilda
albina
arvilla
aurelia
donna
inga
jenny
lauretta
marjorie
neva
odessa
pattie
queen
veronica
adell
berta
celeste
chloe
constance
deborah
docia
donnie
eloise
hortense
imogene
iola
lavinia
loula
madeline
magdalene
mame
manda
mazie
mona
opal
una
vida
alva
annabelle
antonia
betsy
florida
henry
idella
kathleen
lenna
ludie
mahala
malvina
marcia
mariah
myrta
norah
paralee
serena
sina
tressie
vernie
camille
connie
dell
faye
magnolia
minta
natalie
patsy
permelia
rosella
samantha
tessie
aimee
alda
aline
altha
amalia
america
anastasia
annetta
audrey
camilla
carol
celina
christena
cordie
easter
eddie
ethelyn
geraldine
jeanne
kattie
leatha
leslie
lonie
lovina
mathilde
melinda
mettie
muriel
ocie
ottilie
philomena
ray
sena
thomas
walter
winona
zadie
agatha
almira
arrie
aura
carolina
daisie
delilah
dixie
dolores
doris
elta
emelia
eve
eveline
fern
glenna
grayce
huldah
ione
joe
joseph
judith
lelah
lenore
leone
lucie
mammie
marcella
maye
metta
minna
mintie
monica
nanie
petra
rella
rosalia
vada
vallie
willa
wilma
zola
amie
ana
angela
becky
bennie
claude
corrie
corrine
delphine
doshia
elvie
elvina
era
evelina
frank
fred
frona
genie
glennie
honora
janette
jannie
juliet
juliette
kizzie
lovie
mallie
mannie
margaretta
mercy
miranda
nana
oda
osa
paula
prudence
robert
selina
sibyl
zilpah
zona
abigail
almedia
althea
angelina
anner
ara
berdie
beryl
besse
byrdie
calla
carlotta
claribel
clarice
clemmie
clifford
coral
dillie
edwina
elinor
elizebeth
emmer
esta
exie
felicia
ira
iris
jettie
juana
justine
leanna
leonie
louvenia
malissie
manie
margery
maymie
meda
myrtice
narcissus
nonie
onie
pansy
paulina
rachael
rosamond
rosanna
theo
theresia
tommie
valeria
vessie
victorine
wilhelmine
winnifred
zada
abby
adela
alfreda
alicia
alla
arabella
ardella
arminda
arminta
audie
cammie
carmen
claudie
cordia
delila
dessa
diana
dicie
dottie
dove
drucilla
edyth
effa
eleanora
emilia
etha
ethyl
etna
eulalia
flo
fredericka
gloria
gusta
hessie
hope
icie
jessica
lea
letta
liddie
lillia
lota
lulie
madie
manuela
margarita
nathalie
nevada
nita
ota
parthenia
queenie
rae
ramona
rosina
selena
tempie
texie
will
zetta
zillah
aida
albertine
allene
annabel
arizona
arra
aurora
belva
biddie
bird
bula
carry
clementine
corine
courtney
crete
daisey
dee
dicy
donie
dorcas
dossie
elda
eldora
elenora
ellar
emelie
emeline
emmaline
ester
euphemia
evaline
evangeline
flavia
fleta
florance
fronia
gillie
guadalupe
hassie
icy
ivah
jewel
jinnie
joan
jonnie
karen
katharina
kathryne
lella
leo
luvenia
mai
margarett
mell
merle
mirtie
mora
nelia
nena
ninnie
odie
osie
patience
pink
rettie
rosia
rowena
rozella
ruthie
salome
sammie
sofia
sula
suzanne
sybil
sylvania
theodosia
therese
tilla
tressa
ursula
veda
vena
verdie
wanda
zaida
zena
zenobia
zilpha
aggie
alba
aletha
alvena
alverta
amber
andrea
andrew
annis
ason
avis
bama
bernadette
bina
birtie
byrd
celesta
charlie
cherry
chloie
christie
claudine
corda
corean
corinna
donia
doshie
earl
eleanore
elena
elodie
ena
epsie
erna
eugene
eulah
evalena
exa
faith
gail
georgine
glenn
gretta
gwendolyn
hedwig
henriette
indiana
izora
jeffie
jemima
jesse
jo
johnie
josefa
josiephine
judy
juliana
junie
katharyn
lannie
lavada
lavenia
leda
leonore
levina
libby
lilie
lissie
littie
lollie
loma
lonnie
louanna
lugenia
mabell
madeleine
mahalia
margarette
marinda
mila
minda
nealie
neta
netta
orlena
ottie
ottilia
ova
ozella
phyllis
pollie
ressie
rosena
rosey
sabina
senora
siddie
susana
susanne
texanna
texas
thea
theodora
tiney
tinie
tiny
vernon
verona
viney
mary
anna
emma
elizabeth
minnie
margaret
ida
alice
bertha
annie
clara
sarah
florence
martha
ella
grace
laura
bessie
nellie
maude
cora
carrie
mabel
ethel
mattie
gertrude
jennie
rose
edith
hattie
helen
lillian
pearl
louise
julia
lillie
jessie
myrtle
edna
lula
eva
catherine
lena
ada
frances
lucy
fannie
daisy
josephine
maggie
dora
katherine
marie
agnes
effie
blanche
rosa
nora
may
mamie
stella
lizzie
sallie
ellen
elsie
della
nancy
nettie
maud
susie
mae
sadie
flora
alma
etta
lydia
addie
katie
susan
ruth
georgia
lottie
viola
mollie
caroline
nannie
kate
olive
willie
harriet
amanda
eliza
lulu
virginia
emily
kathryn
esther
belle
rebecca
charlotte
jane
amelia
matilda
irene
ollie
hannah
henrietta
pauline
rachel
estella
amy
beulah
augusta
ora
sara
sophia
eleanor
lola
mildred
nina
theresa
josie
anne
leona
ann
delia
lela
marion
mayme
rosie
bettie
ruby
iva
janie
estelle
victoria
lou
barbara
callie
louisa
celia
evelyn
mable
beatrice
betty
millie
maria
alta
luella
dorothy
allie
birdie
essie
ola
sophie
inez
ina
tillie
nell
rena
dollie
bertie
eula
lelia
sally
lucinda
cornelia
harriett
alberta
myra
lucille
sue
leila
winifred
katharine
isabelle
abbie
rhoda
sylvia
bess
mina
verna
christine
elva
eunice
adelaide
genevieve
johanna
winnie
eugenia
hazel
hettie
lida
isabel
loretta
roxie
adeline
gussie
lenora
lilly
lettie
mathilda
hulda
vera
gertie
lila
lucretia
adele
christina
jeanette
lois
myrtie
olga
hester
lily
mittie
carolyn
hallie
phoebe
wilhelmina
elnora
helena
jean
jeannette
nelle
hilda
irma
lucile
bernice
leah
minerva
ophelia
cecelia
lora
francis
naomi
selma
alvina
marguerite
olivia
virgie
louella
meta
frieda
teresa
zella
claudia
fanny
violet
dessie
elma
geneva
georgie
leola
lura
sudie
gladys
ivy
cynthia
emilie
rosetta
cassie
isabella
lilla
catharine
lee
malinda
regina
freda
marian
goldie
lina
linnie
madge
mandy
melissa
polly
john
kittie
letha
mabelle
marjorie
miriam
rosalie
cordelia
margret
bell
lyda
mertie
cecilia
ellie
nola
nona
dolly
linda
antoinette
janet
priscilla
roberta
angie
ernestine
fay
georgianna
lorena
orpha
artie
chloe
corinne
flossie
lona
magdalena
oma
tennie
george
norma
zora
bridget
dovie
eda
elvira
erma
william
charity
claire
molly
alpha
angeline
elisabeth
elise
elsa
kathrine
leora
madeline
maybelle
vina
antonia
dona
evie
pearle
tina
adah
annette
blanch
cecile
harriette
lue
vivian
berta
fern
floy
lavina
ila
juanita
lessie
mahala
melvina
phebe
tena
zoe
almeda
angela
cecil
clementine
edythe
hanna
johnnie
lilian
nan
pearlie
veronica
vinnie
adelia
charles
kathleen
pattie
pinkie
retta
annabelle
constance
iona
isabell
jimmie
julie
june
lucie
mariah
neva
susanna
agatha
ava
clare
frankie
leota
lotta
ludie
marcella
margie
minna
missouri
myrta
octavia
rita
vesta
vida
zelma
zula
anita
dixie
ettie
faye
georgiana
helene
lennie
lucia
maudie
ottilie
savannah
bonnie
clyde
donna
gracie
jannie
kitty
lenore
leonora
letitia
louie
rilla
sena
tessie
adella
alida
altha
aurelia
betsy
cleo
donnie
james
lavinia
meda
nevada
ona
rosella
una
winnifred
adda
adela
daisie
elmira
emelia
henry
marietta
mazie
patsy
rae
velma
zona
adaline
bella
clemmie
corrie
doris
eddie
hilma
hortense
india
iola
jenny
liddie
liza
matie
mellie
minta
vada
arminta
deborah
dorothea
ethelyn
ione
jettie
joanna
joe
leta
libbie
luvenia
muriel
natalie
ray
rosanna
samantha
tilda
willa
abigail
arvilla
christena
harry
lenna
lissie
lutie
mathilde
serena
sophronia
tempie
verda
vernie
wilma
aimee
alva
america
arizona
aura
cathrine
clarissa
connie
dena
emeline
emmer
evalyn
inga
lonnie
malvina
mintie
norah
ocie
opal
rowena
theresia
tressie
vena
besse
camilla
corine
dee
dorcas
easter
elda
elizebeth
eloise
erna
etna
eugenie
gena
geraldine
hedwig
huldah
idella
imogene
isa
jeanne
lauretta
loula
magdalene
mallie
mame
margery
onie
robert
suzanne
thomas
abby
althea
amalia
anastasia
angelina
annetta
arie
arrie
beryl
claudie
corda
cordia
dicie
docia
donie
eleanora
emelie
emmie
florida
frank
irena
ivah
joan
josiephine
lelah
leone
lovie
madie
manda
merle
mona
nella
pansy
queen
queenie
sybil
annabel
ara
attie
bird
bulah
carolina
delilah
dell
dellar
delphine
dolores
dottie
edyth
elinor
esta
ester
genie
gretchen
hermina
icy
jewel
josefa
katheryn
leanna
loma
marcia
marinda
melinda
metta
nelly
odessa
odie
philomena
sula
tennessee
theo
tressa
wanda
aline
amie
avis
celeste
cordie
dosha
eller
elvina
ethyl
eulalia
evangeline
faith
felicia
florance
fred
frona
glennie
hassie
henriette
hetty
isadora
juliette
kathryne
kizzie
lavada
leslie
luetta
nanie
nena
nonie
ottie
paulina
pennie
petra
reba
rosemary
shirley
sidney
ursula
vallie
viva
winona
zada
zola
audie
augustine
aurora
beckie
buna
caldonia
calla
candace
carlotta
clarice
claude
corrine
crete
dessa
diana
dinah
edla
eleonora
elfrieda
elisa
elmina
elta
elvie
emilia
estell
evaline
eveline
florrie
fronia
gail
ira
izora
jessica
jodie
johannah
judith
kattie
luisa
manuela
mettie
myrtis
nelia
nita
osa
ova
paralee
parthenia
phyllis
rachael
rettie
rosalia
rosia
rosina
roxanna
theodosia
tiny
tommie
trudie
verona
vertie
wilhelmine
zoa
agusta
albina
alicia
almira
alphonsine
alvena
ana
ardella
audrey
bennie
camille
cammie
carmen
cary
celestine
celina
cherry
christie
coral
dellie
delpha
delphia
effa
eleanore
era
evelina
exie
gene
georgina
golda
guadalupe
jeffie
jinnie
joyce
juana
juliet
kathyrn
letta
levina
lollie
loretto
lucindy
magdalen
magnolia
malissa
manie
mannie
marilla
maybell
maymie
mercedes
mercy
mima
odile
orah
osie
prudence
prudie
rhea
rinda
rosena
rosy
roxy
sarrah
susannah
thea
tula
ula
walter
will
zadie
zenobia
zetta
albertina
alda
alwina
alyce
annabell
arah
arminda
bama
bernadette
bernadine
birtie
buena
byrdie
capitola
carol
cathern
charlie
christiana
claribel
claudine
clora
columbia
dana
delila
dillie
doshie
drucilla
eileen
elizbeth
etha
eura
evalena
eve
fronie
glenna
hennie
henretta
hermine
hope
ivie
jeanie
joseph
jossie
justina
lea
leaner
lemma
leonia
lorraine
lota
louis
lucetta
macie
mahalie
margaretta
marry
martina
maryann
millicent
narcissus
netta
novella
oda
odelia
olevia
ota
patience
paula
peggy
phillis
philomene
ramona
rozella
ruthie
salina
sibyl
sinda
tabitha
texanna
texie
therese
tilla
tinnie
valeria
vashti
vella
verdie
verne
veva
vicy
viney
wilda
zelda
zena
zita
affie
albert
albertha
alexina
allene
altie
anabel
anie
annis
artelia
arthur
atha
barbra
beaulah
belva
berdie
bertina
biddie
birdella
blossom
cara
carmela
carolyne
cathryn
celestia
charlottie
cilla
classie
clifford
courtney
daisey
dave
denise
dezzie
dicy
dorthea
dove
edmonia
edward
electa
eleonore
eudora
eulah
fairy
fannye
fidelia
franc
francina
francisca
fredericka
genevra
grayce
helga
hessie
honora
iris
iza
jeanetta
jeannie
jemima
jerusha
jesse
jewell
joella
judy
junie
katharina
katy
laurie
lavenia
leatha
leda
lisette
littie
loda
lorenza
louetta
louvenia
luda
lular
lynda
margarett
margeret
marget
mariam
maye
minda
miranda
modena
nanna
nealie
nelie
olena
olie
otelia
penny
pheobe
pollie
portia
rella
rennie
roseanna
roxana
sabina
sada
sadye
sammie
savilla
selena
shellie
sibbie
thekla
tinie
veda
vienna
vinia
vira
willia
zaidee
zana
zilla
mary
anna
emma
elizabeth
minnie
margaret
bertha
ida
annie
clara
alice
sarah
grace
florence
martha
ella
nellie
bessie
laura
ethel
carrie
maude
mabel
cora
gertrude
lillian
jennie
hattie
pearl
mattie
edith
eva
rose
julia
helen
catherine
myrtle
louise
lillie
jessie
edna
lena
lula
ada
frances
josephine
fannie
lucy
maggie
daisy
dora
agnes
marie
blanche
nora
katherine
may
mamie
stella
effie
rosa
ellen
lizzie
nettie
elsie
della
susie
maud
sadie
mae
nancy
sallie
flora
ruth
lydia
lottie
addie
katie
alma
etta
emily
harriet
viola
georgia
susan
caroline
nannie
lulu
mollie
kate
olive
charlotte
kathryn
amanda
eliza
willie
amelia
belle
esther
irene
ollie
jane
rebecca
theresa
virginia
estella
beulah
augusta
ora
amy
hannah
henrietta
pauline
eleanor
marion
anne
mildred
sara
leona
nina
rachel
lola
iva
ann
matilda
lela
ruby
delia
sophia
mayme
millie
estelle
josie
allie
louisa
lou
dorothy
inez
maria
essie
evelyn
barbara
callie
janie
bettie
beatrice
ola
winifred
hazel
betty
luella
mable
cornelia
nell
rosie
alta
tillie
ina
victoria
bertie
eunice
rena
christine
sophie
verna
celia
dollie
mathilda
hilda
bess
birdie
eula
rhoda
lucinda
harriett
isabelle
leila
mina
adelaide
johanna
lelia
isabel
jean
adeline
lettie
genevieve
myra
olga
selma
abbie
katharine
sylvia
vera
linnie
lois
lora
loretta
nelle
hettie
roxie
violet
mittie
sally
alberta
elva
hester
gladys
hulda
marguerite
bernice
christina
helena
lila
adele
fanny
gussie
sue
cecelia
cynthia
lenora
lucille
phoebe
leah
lura
flossie
teresa
jeanette
hallie
lida
lilly
lily
winnie
virgie
carolyn
claudia
alvina
frieda
emilie
mabelle
naomi
lee
ophelia
zella
francis
isabella
wilhelmina
irma
jeannette
catharine
meta
minerva
cordelia
gertie
goldie
leola
myrtie
linda
lucile
madge
marjorie
norma
eugenia
geneva
marian
roberta
louella
malinda
olivia
annette
antoinette
ivy
janet
lilla
elma
lorena
melissa
adah
dovie
john
orpha
william
cecilia
dessie
gracie
pearle
rosetta
claire
erma
lina
regina
angie
elnora
mertie
cecile
elsa
kittie
lucretia
mandy
zora
angeline
cassie
georgie
lona
miriam
oma
bell
freda
joanna
lyda
nona
pearlie
polly
vivian
alpha
ila
lessie
maudie
tena
tennie
frankie
madeline
margie
tilda
adelia
dona
dorothea
margret
molly
nola
sudie
ava
charity
emelia
letha
veronica
blanch
bridget
fay
georgianna
maybelle
nan
pansy
almeda
anita
artie
ernestine
evie
hilma
leora
magdalena
mazie
priscilla
savannah
angelina
cleo
elisabeth
elise
elvira
ettie
floy
lavina
louie
marietta
octavia
ona
isabell
james
leota
leta
lotta
rosella
velma
vinnie
zula
adda
dolly
ellie
helene
juanita
julie
june
lucia
lutie
malissa
pattie
cecil
edythe
georgiana
hortense
letitia
marcia
rae
rilla
rosalie
vina
zoe
angela
clare
eddie
elmira
george
johnnie
kathrine
lenna
lucie
myrta
neva
retta
susanna
vida
berta
bonnie
donna
doris
easter
hanna
harriette
kathleen
mellie
melvina
tina
tommie
carolina
corinne
daisie
jimmie
lavinia
liza
lue
mahala
missouri
norah
patsy
willa
albina
cathrine
chloe
corrie
eda
fern
florida
ione
lennie
lovie
ludie
marcella
paula
una
verda
vesta
antonia
charles
eloise
iona
ira
jannie
leonora
manda
muriel
odessa
rosanna
sena
shirley
wilma
bella
clarissa
constance
donnie
frank
hope
joseph
lenore
lilian
luna
malvina
mame
matie
pinkie
samantha
adella
alida
besse
cordie
deborah
dena
dixie
emilia
idella
india
joe
kitty
lissie
mona
onie
opal
vada
winnifred
zelma
adela
almira
clementine
delphine
elizebeth
geraldine
judith
libbie
mariah
merle
mintie
odie
philomena
phyllis
reba
rita
vallie
zetta
agatha
albertine
america
anastasia
arizona
audrey
aurelia
cathryn
dolores
elda
era
erna
faye
imogene
kizzie
lonie
loula
selina
sina
altha
althea
